primary_id,value,timestamp
bjn2p3tp0jt000a5eiug,77.99,1659443653838
bjn2p3tp0jt000a5eiug,78.26,1659444593234
bjn2p3tp0jt000a5eiug,78.53,1659445533075
bjn2p3tp0jt000a5eiug,78.98,1659446472088
bjn2p3tp0jt000a5eiug,79.16,1659447409738
bjn2p3tp0jt000a5eiug,78.71,1659448348076
bjn2p3tp0jt000a5eiug,79.34,1659449286213
bjn2p3tp0jt000a5eiug,78.62,1659450224999
bjn2p3tp0jt000a5eiug,78.17,1659451164074
bjn2p3tp0jt000a5eiug,78.71,1659452103335
bjn2p3tp0jt000a5eiug,78.08,1659453043230
bjn2p3tp0jt000a5eiug,77.9,1659453983828
bjn2p3tp0jt000a5eiug,77.81,1659454924002
bjn2p3tp0jt000a5eiug,77.63,1659455867092
bjn2p3tp0jt000a5eiug,77.72,1659456806011
bjn2p3tp0jt000a5eiug,77.72,1659457748021
bjn2p3tp0jt000a5eiug,77.72,1659458684837
bjn2p3tp0jt000a5eiug,78.17,1659459624989
bjn2p3tp0jt000a5eiug,78.62,1659460564710
bjn2p3tp0jt000a5eiug,78.44,1659461505541
bjn2p3tp0jt000a5eiug,78.26,1659462442744
bjn2p3tp0jt000a5eiug,78.26,1659463381940
bjn2p3tp0jt000a5eiug,78.71,1659464320737
bjn2p3tp0jt000a5eiug,78.62,1659465260262
bjn2p3tp0jt000a5eiug,78.26,1659466199583
bjn2p3tp0jt000a5eiug,78.71,1659467138640
bjn2p3tp0jt000a5eiug,78.62,1659468077925
bjn2p3tp0jt000a5eiug,78.53,1659469016995
bjn2p3tp0jt000a5eiug,78.98,1659469955701
bjn2p3tp0jt000a5eiug,77.81,1659470894986
bjn2p3tp0jt000a5eiug,77.63,1659471836004
bjn2p3tp0jt000a5eiug,77.81,1659472777095
bjn2p3tp0jt000a5eiug,77.9,1659473717387
bjn2p3tp0jt000a5eiug,77.63,1659474658313
bjn2p3tp0jt000a5eiug,76.82,1659475599580
bjn2p3tp0jt000a5eiug,77.18,1659476541720
bjn2p3tp0jt000a5eiug,77.9,1659477482345
bjn2p3tp0jt000a5eiug,78.08,1659478424560
bjn2p3tp0jt000a5eiug,78.62,1659479362087
bjn2p3tp0jt000a5eiug,77.99,1659480301083
bjn2p3tp0jt000a5eiug,77.81,1659481241501
bjn2p3tp0jt000a5eiug,77.09,1659482182383
bjn2p3tp0jt000a5eiug,76.82,1659483123737
bjn2p3tp0jt000a5eiug,76.55,1659484065951
bjn2p3tp0jt000a5eiug,75.92,1659485009159
bjn2p3tp0jt000a5eiug,75.65,1659485953468
bjn2p3tp0jt000a5eiug,75.74,1659486898108
bjn2p3tp0jt000a5eiug,75.38,1659487843811
bjn2p3tp0jt000a5eiug,75.2,1659488788291
bjn2p3tp0jt000a5eiug,75.02,1659489733232
bjn2p3tp0jt000a5eiug,74.84,1659490680017
bjn2p3tp0jt000a5eiug,74.75,1659491624960
bjn2p3tp0jt000a5eiug,75.02,1659492572234
bjn2p3tp0jt000a5eiug,75.02,1659493516839
bjn2p3tp0jt000a5eiug,74.75,1659494463985
bjn2p3tp0jt000a5eiug,74.48,1659495410033
bjn2p3tp0jt000a5eiug,74.84,1659496355487
bjn2p3tp0jt000a5eiug,74.57,1659497302932
bjn2p3tp0jt000a5eiug,74.66,1659498248052
bjn2p3tp0jt000a5eiug,74.66,1659499193901
bjn2p3tp0jt000a5eiug,74.57,1659500141528
bjn2p3tp0jt000a5eiug,74.57,1659501087867
bjn2p3tp0jt000a5eiug,74.93,1659502032487
bjn2p3tp0jt000a5eiug,74.3,1659502980493
bjn2p3tp0jt000a5eiug,74.57,1659503925494
bjn2p3tp0jt000a5eiug,74.48,1659504871783
bjn2p3tp0jt000a5eiug,74.84,1659505819710
bjn2p3tp0jt000a5eiug,74.66,1659506764488
bjn2p3tp0jt000a5eiug,74.48,1659507711471
bjn2p3tp0jt000a5eiug,74.84,1659508658004
bjn2p3tp0jt000a5eiug,74.48,1659509605691
bjn2p3tp0jt000a5eiug,74.48,1659510551204
bjn2p3tp0jt000a5eiug,74.66,1659511498986
bjn2p3tp0jt000a5eiug,74.21,1659512446082
bjn2p3tp0jt000a5eiug,74.48,1659513391751
bjn2p3tp0jt000a5eiug,74.3,1659514338204
bjn2p3tp0jt000a5eiug,74.39,1659515285737
bjn2p3tp0jt000a5eiug,74.48,1659516232124
bjn2p3tp0jt000a5eiug,74.12,1659517179205
bjn2p3tp0jt000a5eiug,74.48,1659518126567
bjn2p3tp0jt000a5eiug,74.21,1659519074556
bjn2p3tp0jt000a5eiug,74.48,1659520020256
bjn2p3tp0jt000a5eiug,74.48,1659520966961
bjn2p3tp0jt000a5eiug,74.03,1659521913841
bjn2p3tp0jt000a5eiug,74.39,1659522862486
bjn2p3tp0jt000a5eiug,74.39,1659523809437
bjn2p3tp0jt000a5eiug,74.12,1659524756827
bjn2p3tp0jt000a5eiug,74.48,1659525702674
bjn2p3tp0jt000a5eiug,74.12,1659526649342
bjn2p3tp0jt000a5eiug,74.48,1659527596849
bjn2p3tp0jt000a5eiug,74.84,1659528545005
bjn2p3tp0jt000a5eiug,74.12,1659529492084
bjn2p3tp0jt000a5eiug,74.48,1659530439508
bjn2p3tp0jt000a5eiug,74.66,1659531385784
bjn2p3tp0jt000a5eiug,75.02,1659532330716
bjn2p3tp0jt000a5eiug,75.2,1659533276209
bjn2p3tp0jt000a5eiug,75.56,1659534222044
bjn2p3tp0jt000a5eiug,76.37,1659535166565
bjn2p3tp0jt000a5eiug,76.82,1659536109134
bjn2p3tp0jt000a5eiug,76.37,1659537053331
bjn2p3tp0jt000a5eiug,76.19,1659537995591
bjn2p3tp0jt000a5eiug,75.83,1659538939658
bjn2p3tp0jt000a5eiug,75.83,1659539884249
bjn2p3tp0jt000a5eiug,75.65,1659540828587
bjn2p3tp0jt000a5eiug,75.65,1659541774839
bjn2p3tp0jt000a5eiug,75.2,1659542718500
bjn2p3tp0jt000a5eiug,75.29,1659543664697
bjn2p3tp0jt000a5eiug,75.74,1659544611081
bjn2p3tp0jt000a5eiug,76.1,1659545554396
bjn2p3tp0jt000a5eiug,76.01,1659546498522
bjn2p3tp0jt000a5eiug,76.73,1659547443232
bjn2p3tp0jt000a5eiug,76.82,1659548384990
bjn2p3tp0jt000a5eiug,76.19,1659549328087
bjn2p3tp0jt000a5eiug,75.83,1659550271732
bjn2p3tp0jt000a5eiug,75.47,1659551216958
bjn2p3tp0jt000a5eiug,75.65,1659552162656
